Name,Key passes,Total passes,Acc. passes,Accurate opposition half passes,Accurate final third passes,Inaccurate passes,Big chances created,Accurate own half passes,Tackles,Interceptions,Total duels won,Possession lost,Dispossessed,Was fouled,Succ. dribbles,Total shots,Shots on target,Minutes,90s,keypasses,total_passes,acc_passes,Accurate opposition half passes,Accurate final third passes,Inaccurate passes,Big chances created,Accurate own half passes,Tackles,Interceptions,Total duels won,Possession lost,Dispossessed,Was fouled,Succ. dribbles,Total shots,Shots on target
Vicente Gómez,11,938,789,409,192,149,2,381,26,17,137,210,12,53,10,36,11,803,8.92,1.233183857,105.1569507,88.4529148,45.85201794,21.52466368,16.70403587,0.224215247,42.71300448,2.914798206,1.905829596,15.35874439,23.5426009,1.34529148,5.941704036,1.121076233,4.035874439,1.233183857
Dimas Delgado,20,692,568,304,132,124,0,285,15,3,51,179,12,25,7,9,3,817,9.08,2.202643172,76.21145374,62.55506608,33.48017621,14.53744493,13.65638767,0,31.3876652,1.651982379,0.330396476,5.616740088,19.71365639,1.321585903,2.753303965,0.77092511,0.991189427,0.330396476
Cy Goddard,31,403,345,240,136,58,3,124,16,8,65,189,15,30,19,9,3,829,9.21,3.365906623,43.7567861,37.45928339,26.05863192,14.76655809,6.297502714,0.325732899,13.46362649,1.737242128,0.868621064,7.057546145,20.52117264,1.628664495,3.25732899,2.062975027,0.977198697,0.325732899
Apuia,7,671,564,233,90,107,1,332,47,29,100,152,14,35,11,12,4,846,9.4,0.744680851,71.38297872,60,24.78723404,9.574468085,11.38297872,0.106382979,35.31914894,5,3.085106383,10.63829787,16.17021277,1.489361702,3.723404255,1.170212766,1.276595745,0.425531915
Anirudh Thapa,12,382,295,164,84,87,2,139,11,26,37,137,6,18,2,16,4,888,9.87,1.215805471,38.70314083,29.88855117,16.61600811,8.510638298,8.814589666,0.202634245,14.08308004,1.114488349,2.634245187,3.748733536,13.8804458,0.607902736,1.823708207,0.202634245,1.621073961,0.40526849
Khassa Camara,11,666,531,238,89,135,1,294,43,34,91,177,7,18,10,9,1,917,10.19,1.079489696,65.35819431,52.10991168,23.3562316,8.734052993,13.24828263,0.098135427,28.85181551,4.219823356,3.336604514,8.930323847,17.36997056,0.686947988,1.766437684,0.981354269,0.883218842,0.098135427
Jacques Maghoma,16,694,611,356,164,83,2,259,17,13,118,205,31,60,36,17,6,975,10.83,1.477377655,64.08125577,56.41735919,32.87165282,15.14312096,7.663896584,0.184672207,23.91505078,1.569713758,1.200369344,10.8956602,18.9289012,2.862419206,5.540166205,3.324099723,1.569713758,0.55401662
Erik Paartalu,10,822,621,261,105,201,1,360,16,34,87,230,8,13,0,25,12,976,10.84,0.922509225,75.8302583,57.28782288,24.07749077,9.686346863,18.54243542,0.092250923,33.2103321,1.47601476,3.136531365,8.025830258,21.21771218,0.73800738,1.199261993,0,2.306273063,1.10701107
Holicharan Narzary,24,500,359,234,121,141,0,141,19,25,80,290,21,25,17,36,10,992,11.02,2.177858439,45.37205082,32.57713249,21.23411978,10.9800363,12.79491833,0,12.79491833,1.724137931,2.268602541,7.259528131,26.31578947,1.905626134,2.268602541,1.542649728,3.266787659,0.907441016
Memo,9,836,638,256,89,198,0,382,43,27,113,233,9,27,10,21,3,1015,11.28,0.79787234,74.11347518,56.56028369,22.69503546,7.890070922,17.55319149,0,33.86524823,3.812056738,2.393617021,10.0177305,20.65602837,0.79787234,2.393617021,0.886524823,1.861702128,0.265957447
Sahal Abdul Samad,26,268,204,152,73,64,3,66,26,9,66,157,15,11,25,29,3,1015,11.28,2.304964539,23.75886525,18.08510638,13.4751773,6.471631206,5.673758865,0.265957447,5.85106383,2.304964539,0.79787234,5.85106383,13.91843972,1.329787234,0.975177305,2.216312057,2.570921986,0.265957447
Lallianzuala Chhangte,25,475,365,255,128,110,9,132,25,16,82,292,33,18,28,40,17,1048,11.64,2.147766323,40.80756014,31.35738832,21.90721649,10.99656357,9.450171821,0.773195876,11.34020619,2.147766323,1.374570447,7.04467354,25.08591065,2.835051546,1.546391753,2.405498282,3.436426117,1.4604811
Princeton Rebello,13,406,346,168,72,60,0,179,18,9,55,85,9,12,9,7,0,1065,11.83,1.098901099,34.31952663,29.2476754,14.20118343,6.086221471,5.071851226,0,15.13102282,1.521555368,0.760777684,4.649196957,7.18512257,0.760777684,1.014370245,0.760777684,0.591715976,0
Narayan Das,14,568,405,221,100,163,1,204,17,28,63,301,7,17,6,7,3,1065,11.83,1.183431953,48.01352494,34.23499577,18.68131868,8.453085376,13.77852916,0.084530854,17.24429417,1.437024514,2.366863905,5.325443787,25.44378698,0.591715976,1.437024514,0.507185123,0.591715976,0.253592561
Alex,18,552,434,282,150,118,1,156,42,19,113,196,25,34,22,17,1,1072,11.91,1.511335013,46.34760705,36.43996641,23.67758186,12.59445844,9.907640638,0.083963056,13.09823678,3.526448363,1.595298069,9.487825357,16.45675903,2.099076406,2.854743913,1.847187238,1.427371956,0.083963056
Bradden Inman,15,194,163,109,55,31,1,64,4,4,19,64,7,7,5,10,4,1072,11.91,1.259445844,16.28883291,13.68597817,9.151973132,4.617968094,2.602854744,0.083963056,5.3736356,0.335852225,0.335852225,1.595298069,5.3736356,0.587741394,0.587741394,0.419815281,0.839630563,0.335852225
Glan Martins,2,356,285,113,33,71,0,172,18,11,47,89,4,13,3,8,3,1126,12.51,0.159872102,28.45723421,22.78177458,9.032773781,2.637889688,5.675459632,0,13.7490008,1.438848921,0.879296563,3.756994404,7.114308553,0.319744205,1.039168665,0.239808153,0.639488409,0.239808153
Vinit Rai,17,513,373,243,111,140,0,148,35,20,66,187,7,13,4,6,0,1130,12.56,1.353503185,40.84394904,29.69745223,19.34713376,8.837579618,11.14649682,0,11.78343949,2.786624204,1.592356688,5.25477707,14.88853503,0.557324841,1.035031847,0.318471338,0.477707006,0
Fatkhullo Fatkhulloev,12,204,163,125,79,41,2,49,7,4,31,104,4,9,8,12,4,1146,12.73,0.942655145,16.02513747,12.80439906,9.81932443,6.20581304,3.220738413,0.157109191,3.849175177,0.549882168,0.314218382,2.435192459,8.169677926,0.314218382,0.706991359,0.628436764,0.942655145,0.314218382
Jerry Mawihmingthanga,22,351,255,198,124,96,6,67,7,13,73,260,39,44,17,21,8,1153,12.81,1.717408275,27.40046838,19.90632319,15.45667447,9.679937549,7.494145199,0.468384075,5.230288837,0.546448087,1.014832162,5.698672912,20.29664325,3.044496487,3.43481655,1.327088212,1.639344262,0.6245121
Nandhakumar Sekar,3,169,114,79,45,55,0,39,7,9,30,108,8,9,8,12,4,1191,13.23,0.22675737,12.77399849,8.616780045,5.9712774,3.401360544,4.157218443,0,2.947845805,0.529100529,0.680272109,2.267573696,8.163265306,0.604686319,0.680272109,0.604686319,0.907029478,0.302343159
Edwin Sydney Vanspaul,10,275,223,137,70,52,1,93,12,15,26,91,10,3,4,12,4,1245,13.83,0.723065799,19.88430947,16.12436732,9.906001446,5.061460593,3.759942155,0.07230658,6.724511931,0.867678959,1.084598698,1.879971077,6.579898771,0.723065799,0.21691974,0.28922632,0.867678959,0.28922632
Seminlen Doungel,9,191,124,94,54,67,3,37,23,5,67,148,14,7,12,16,6,1334,14.82,0.607287449,12.8879892,8.367071525,6.342780027,3.643724696,4.520917679,0.20242915,2.496626181,1.551956815,0.337381916,4.520917679,9.986504723,0.944669366,0.472334683,0.809716599,1.079622132,0.4048583
Mobashir Rahman,6,332,235,149,78,97,3,89,17,11,33,145,7,3,3,17,4,1352,15.02,0.399467377,22.10386152,15.64580559,9.920106525,5.193075899,6.458055925,0.199733688,5.925432756,1.131824234,0.732356858,2.197070573,9.65379494,0.466045273,0.199733688,0.199733688,1.131824234,0.266311585
Jeakson Thounaojam,5,431,336,143,62,95,0,193,15,24,50,110,0,10,9,8,1,1397,15.52,0.322164948,27.77061856,21.64948454,9.213917526,3.994845361,6.121134021,0,12.43556701,0.966494845,1.546391753,3.221649485,7.087628866,0,0.644329897,0.579896907,0.515463918,0.06443299
Mehtab Singh,1,261,233,50,15,28,0,183,1,14,15,30,0,5,0,3,2,1426,15.84,0.063131313,16.47727273,14.70959596,3.156565657,0.946969697,1.767676768,0,11.5530303,0.063131313,0.883838384,0.946969697,1.893939394,0,0.315656566,0,0.189393939,0.126262626
Mohammad Yasir,19,287,206,161,92,81,4,58,14,6,58,207,28,23,19,22,3,1432,15.91,1.194217473,18.0389692,12.94783155,10.11942175,5.782526713,5.091137649,0.251414205,3.645505971,0.879949717,0.377121307,3.645505971,13.0106851,1.759899434,1.445631678,1.194217473,1.382778127,0.188560654
Rahul Kannoly,8,241,149,99,63,92,0,55,38,16,87,189,24,13,13,31,12,1442,16.02,0.49937578,15.04369538,9.300873908,6.179775281,3.93258427,5.742821473,0,3.433208489,2.372034956,0.998751561,5.43071161,11.79775281,1.498127341,0.811485643,0.811485643,1.935081149,0.74906367
Deepak Tangri,2,398,295,95,28,103,0,202,24,26,74,121,1,11,3,4,1,1479,16.43,0.121728545,24.22398052,17.95496044,5.782105904,1.704199635,6.269020085,0,12.29458308,1.460742544,1.582471089,4.503956178,7.364576993,0.060864273,0.669506999,0.182592818,0.243457091,0.060864273
Singh Surchandra,5,270,205,106,46,65,2,102,16,11,43,131,7,10,7,2,1,1480,16.44,0.304136253,16.42335766,12.46958637,6.447688564,2.798053528,3.95377129,0.121654501,6.204379562,0.97323601,0.669099757,2.615571776,7.96836983,0.425790754,0.608272506,0.425790754,0.121654501,0.060827251
Hitesh Sharma,6,516,415,220,100,101,0,197,19,11,61,164,21,24,8,4,1,1488,16.53,0.362976407,31.21597096,25.10586812,13.30913491,6.049606776,6.110102843,0,11.91772535,1.149425287,0.665456745,3.690260133,9.921355112,1.270417423,1.451905626,0.483968542,0.241984271,0.060496068
Seityasen Singh,10,124,102,52,28,22,1,56,6,6,13,61,3,4,2,6,1,1503,16.7,0.598802395,7.425149701,6.107784431,3.113772455,1.676646707,1.317365269,0.05988024,3.353293413,0.359281437,0.359281437,0.778443114,3.652694611,0.179640719,0.239520958,0.119760479,0.359281437,0.05988024
Suresh Wangjam Singh,13,488,396,203,86,92,1,197,21,18,59,174,26,18,14,16,2,1513,16.81,0.773349197,29.03033908,23.55740631,12.07614515,5.11600238,5.472932778,0.0594884,11.71921475,1.249256395,1.070791196,3.509815586,10.35098156,1.546698394,1.070791196,0.832837597,0.951814396,0.1189768
Rohit Kumar,2,221,184,94,35,37,1,92,6,7,26,57,7,8,5,7,2,1513,16.81,0.1189768,13.14693635,10.94586556,5.591909578,2.082093992,2.201070791,0.0594884,5.472932778,0.356930399,0.416418798,1.546698394,3.390838786,0.416418798,0.475907198,0.297441999,0.416418798,0.1189768
Jackichand Singh,11,233,157,110,69,76,1,51,6,8,26,158,9,11,6,16,8,1515,16.83,0.653594771,13.84432561,9.328579917,6.535947712,4.099821747,4.515745692,0.059417706,3.03030303,0.356506239,0.475341652,1.544860368,9.387997623,0.534759358,0.653594771,0.356506239,0.950683304,0.475341652
Issac Vanmalsawma,12,261,193,122,63,68,3,86,14,5,42,154,11,22,1,7,1,1532,17.02,0.705052879,15.33490012,11.33960047,7.168037603,3.701527615,3.995299647,0.17626322,5.052878966,0.822561692,0.293772033,2.467685076,9.048178613,0.646298472,1.292596945,0.058754407,0.411280846,0.058754407
Alexander Romario Jesuraj,16,300,226,166,83,74,1,70,18,13,32,153,15,6,4,13,3,1543,17.14,0.933488915,17.50291715,13.18553092,9.684947491,4.842473746,4.317386231,0.058343057,4.084014002,1.050175029,0.758459743,1.86697783,8.926487748,0.875145858,0.350058343,0.233372229,0.758459743,0.175029172
Ankit Mukherjee,2,302,198,109,43,104,0,99,21,17,54,195,9,11,6,3,2,1561,17.34,0.115340254,17.41637832,11.41868512,6.286043829,2.479815456,5.997693195,0,5.709342561,1.211072664,0.980392157,3.114186851,11.24567474,0.519031142,0.634371396,0.346020761,0.173010381,0.115340254
Raynier Fernandes,8,597,513,279,137,84,1,237,17,11,48,141,12,11,16,9,0,1578,17.53,0.456360525,34.05590416,29.26411865,15.9155733,7.815173987,4.791785511,0.057045066,13.51968055,0.969766115,0.627495722,2.738163149,8.04335425,0.684540787,0.627495722,0.91272105,0.51340559,0
Rochharzela,7,77,49,30,17,28,3,21,9,3,21,65,11,6,5,9,1,1586,17.62,0.397275823,4.370034052,2.78093076,1.70261067,0.964812713,1.589103292,0.170261067,1.191827469,0.510783201,0.170261067,1.191827469,3.688989784,0.624290579,0.340522134,0.283768445,0.510783201,0.056753689
Wahengbam Angousana Luwang,4,248,216,116,39,32,0,100,4,10,18,42,0,9,0,4,0,1616,17.96,0.222717149,13.80846325,12.02672606,6.458797327,2.171492205,1.781737194,0,5.567928731,0.222717149,0.556792873,1.002227171,2.338530067,0,0.501113586,0,0.222717149,0
Mohammed Rafique,4,201,154,101,57,47,0,56,6,10,42,114,19,18,9,13,2,1622,18.02,0.221975583,11.15427303,8.546059933,5.604883463,3.163152053,2.608213097,0,3.107658158,0.332963374,0.554938957,2.330743618,6.326304107,1.054384018,0.998890122,0.499445061,0.721420644,0.110987791
Prasanth Karuthadathkuni,5,195,160,94,57,35,0,69,9,5,28,93,5,10,4,5,1,1670,18.56,0.269396552,10.50646552,8.620689655,5.064655172,3.07112069,1.885775862,0,3.717672414,0.484913793,0.269396552,1.50862069,5.010775862,0.269396552,0.538793103,0.215517241,0.269396552,0.05387931
Singh Khangembam Thoi,6,87,47,39,20,40,0,12,10,2,20,77,3,6,0,3,0,1706,18.96,0.316455696,4.588607595,2.478902954,2.056962025,1.054852321,2.109704641,0,0.632911392,0.52742616,0.105485232,1.054852321,4.061181435,0.158227848,0.316455696,0,0.158227848,0
Germanpreet Singh,4,177,137,78,41,40,0,59,8,5,14,71,6,4,2,5,1,1788,19.87,0.201308505,8.907901359,6.894816306,3.925515853,2.063412179,2.013085053,0,2.969300453,0.402617011,0.251635632,0.704579768,3.573225969,0.301962758,0.201308505,0.100654253,0.251635632,0.050327126
