Column1,match_id,home_team,away_team,home_team_score,away_team_score,home_xG_first_half,away_xG_first_half,home_xG_second_half,away_xG_second_half,home_xG_Open_Play,away_xG_Open_Play,home_xG_Set_Play,away_xG_Set_Play,home_xGOT,away_xGOT
94,3791604,SC East Bengal,Chennaiyin FC,2,2,1.8,1.02,26,8,0.72,0.86,1.08,0.16,0.88,0.98
95,3791605,Mumbai City FC,ATK Mohun Bagan FC,1,1,1.04,1.55,18,20,0.25,1.06,0.79,0.49,0.86,0.93
96,3791606,Kerala Blasters FC,Northeast United FC,2,1,1.49,0.46,15,10,0.22,0.25,1.27,0.21,0.83,0.2
97,3791607,Bengaluru FC,Jamshedpur,3,1,1.83,1.7,11,13,0.84,0.85,1,0.85,0.16,0.58
98,3791608,Chennaiyin FC,Mumbai City FC,0,1,0.45,1.53,8,2,0.16,0.65,0.29,0.88,0.33,0.94
99,3791609,SC East Bengal,Odisha FC,1,2,0.56,1.53,15,8,0.15,0.59,0.41,0.94,0.42,0.46
100,3791610,Hyderabad FC,ATK Mohun Bagan FC,1,2,1.52,2.38,14,16,0.18,0.52,1.34,1.86,1.24,0.33
101,3791611,Northeast United FC,Bengaluru FC,2,1,2.18,1.15,14,13,0.7,0.3,1.48,0.85,2.02,0.02
102,3791612,Chennaiyin FC,FC Goa,0,5,0.45,2.46,7,8,0,2,0.45,0.46,0.19,0.32
103,3791613,Jamshedpur,Kerala Blasters FC,3,0,1.94,0.34,11,9,0.97,0.08,0.97,0.26,0.2,0.22
104,3791614,Mumbai City FC,SC East Bengal,1,0,1.28,0.93,11,13,0.13,0.29,1.15,0.65,1.15,0.28
105,3791615,Kerala Blasters FC,SC East Bengal,1,0,0.54,0.55,14,9,0.36,0.04,0.18,0.51,0.35,0.41
106,3791616,Bengaluru FC,Hyderabad FC,1,2,1.02,0.59,8,1,0.04,0.43,0.98,0.15,0.86,0.38
107,3791617,Mumbai City FC,Odisha FC,4,1,0.73,0.55,13,14,0.19,0.26,0.55,0.29,0.52,0.32
108,3791618,Chennaiyin FC,Jamshedpur,1,4,1.19,3.65,15,28,0.15,3.07,1.04,0.58,0.87,0.37
109,3791619,ATK Mohun Bagan FC,Northeast United FC,3,1,2.52,1.28,16,24,1.72,0.55,0.8,0.73,2.4,0.89
110,3791620,FC Goa,Kerala Blasters FC,4,4,2.69,2.99,15,14,0.17,1.67,2.52,1.32,0.89,0.03
